"341","28381182","saiwu-bigkoo","Android-ConvenientBanner","3488"
"342","16368712","BoltsFramework","Bolts-Android","3486"
"343","12983151","openhab","openhab1-addons","3478"
"344","2923236","lightbend","config","3477"
"345","60145667","HotBitmapGG","bilibili-android-client","3473"
"346","1756350","JodaOrg","joda-time","3470"
"347","44681400","gzu-liyujiang","AndroidPicker","3461"
"348","7276954","Alluxio","alluxio","3460"
"349","41889031","TeamNewPipe","NewPipe","3459"
"350","10641697","JoanZapata","android-iconify","3457"
"351","49850704","hs-web","hsweb-framework","3453"
"352","12554530","alibaba","jstorm","3438"
"353","42304749","elasticjob","elastic-job-lite","3438"
"354","7083240","orientechnologies","orientdb","3432"
"355","49662222","oracle","graal","3426"
"356","11543691","orfjackal","retrolambda","3406"
"357","1364139","grantland","android-autofittextview","3390"
"358","54642620","rengwuxian","RxJavaSamples","3379"
"359","29293002","ArthurHub","Android-Image-Cropper","3371"
"360","38415498","careercup","CtCI-6th-Edition","3368"
"361","5793738","Activiti","Activiti","3362"
"362","39876649","yanzhenjie","NoHttp","3359"
"363","72907253","ityouknow","spring-boot-examples","3354"
"364","28752850","wdullaer","MaterialDateTimePicker","3345"
"365","61435800","zetbaitsu","Compressor","3325"
"366","16621659","real-logic","aeron","3320"
"367","29186291","Yalantis","Context-Menu.Android","3309"
"368","66590822","nisrulz","android-tips-tricks","3295"
"369","10480910","chrisbanes","ActionBar-PullToRefresh","3292"
"370","76325615","jpush","aurora-imui","3280"
"371","89322848","Tencent","angel","3272"
"372","11140459","johncarl81","parceler","3267"
"373","39571075","wasabeef","Blurry","3264"
"374","23284820","baoyongzhang","SwipeMenuListView","3264"
"375","15397085","avast","android-butterknife-zelezny","3260"
"376","64904916","google","cameraview","3259"
"377","36708321","pili-engineering","PLDroidPlayer","3243"
"378","67013973","rubensousa","RecyclerViewSnap","3242"
"379","91953571","MindorksOpenSource","from-java-to-kotlin","3236"
"380","37791069","actorapp","actor-platform","3231"
"381","105686726","uber","RIBs","3228"
"382","24743779","timehop","sticky-headers-recyclerview","3216"
"383","49268802","wuhaoyu1990","MagicCamera","3214"
"384","60294682","barteksc","AndroidPdfViewer","3213"
"385","1459486","JetBrains","ideavim","3210"
"386","88703315","gyf-dev","ImmersionBar","3206"
"387","66704088","amitshekhariitbhu","RxJava2-Android-Samples","3206"
"388","16025084","rockerhieu","emojicon","3203"
"389","54413435","amitshekhariitbhu","Fast-Android-Networking","3200"
"390","56371551","dinuscxj","LoadingDrawable","3197"
"391","4516733","bauerca","drag-sort-listview","3184"
"392","14640193","CellularPrivacy","Android-IMSI-Catcher-Detector","3168"
"393","52153906","xcc3641","SeeWeather","3168"
"394","61687257","baoyachi","StepView","3167"
"395","43158694","apache","incubator-heron","3158"
"396","42318990","ivacf","archi","3152"
"397","46348026","Karumi","Dexter","3148"
"398","62611784","ChadCSong","ShineButton","3142"
"399","52960120","lcodecorex","TwinklingRefreshLayout","3135"
"400","66153549","rubensousa","ViewPagerCards","3133"
"401","961036","hibernate","hibernate-orm","3132"
"402","30900836","bluelinelabs","LoganSquare","3131"
"403","80210218","hugeterry","CoordinatorTabLayout","3127"
"404","40691886","dropbox","hackpad","3122"
"405","749137","Atmosphere","atmosphere","3120"
"406","6257984","yangfuhai","afinal","3120"
"407","68117034","ryanhoo","StylishMusicPlayer","3116"
"408","81267171","jgilfelt","chuck","3105"
"409","42997176","tyrantgit","ExplosionField","3093"
"410","45721011","apache","incubator-skywalking","3090"
"411","82405191","k0shk0sh","FastHub","3089"
"412","64845938","drakeet","MultiType","3073"
"413","9056142","puniverse","quasar","3060"
"414","54283063","Ashok-Varma","BottomNavigation","3059"
"415","21019797","yigit","android-priority-jobqueue","3058"
"416","31690108","udacity","Sunshine-Version-2","3058"
"417","23982180","jwtk","jjwt","3057"
"418","12136636","kikoso","android-stackblur","3056"
"419","42849407","pengjianbo","GalleryFinal","3050"
"420","5872657","stephanenicolas","robospice","3047"
"421","75118280","NYTimes","Store","3045"
"422","5284389","keyboardsurfer","Crouton","3045"
"423","42233871","tangqi92","Android-Tips","3039"
"424","64858321","yanzhenjie","SwipeRecyclerView","3022"
"425","865412","OpenTSDB","opentsdb","3015"
"426","17371412","h2oai","h2o-3","3007"
"427","63452341","robinhood","ticker","3001"
"428","66179765","dyc87112","SpringBoot-Learning","2997"
"429","78494737","Meituan-Dianping","walle","2991"
"430","42464201","MiguelCatalan","MaterialSearchView","2990"
"431","1011539","rest-assured","rest-assured","2977"
"432","33082868","sqshq","PiggyMetrics","2976"
"433","64202095","yipianfengye","android-zxingLibrary","2974"
"434","11997640","alibaba","otter","2972"
"435","2828194","nicolasgramlich","AndEngine","2968"
"436","20286858","litesuits","android-common","2967"
"437","24953080","google","google-authenticator","2967"
"438","7170058","flyway","flyway","2959"
"439","11720297","yangfuhai","ASimpleCache","2958"
"440","2471372","jgilfelt","android-viewbadger","2952"
"441","49566965","Tencent","GT","2936"
"442","19894678","Manabu-GT","ExpandableTextView","2932"
"443","54057611","bluelinelabs","Conductor","2930"
"444","54115435","aurelhubert","ahbottomnavigation","2926"
"445","25979092","lzyzsd","CircleProgress","2918"
"446","22430020","ongakuer","CircleIndicator","2914"
"447","45007173","yahoo","anthelion","2909"
"448","20652074","xcltapestry","XCL-Charts","2908"
"449","10283400","ManuelPeinado","FadingActionBar","2908"
"450","15319507","google","grafika","2906"
"451","25166410","saulmm","Android-Material-Examples","2905"
"452","58236945","andremion","Music-Player","2897"
"453","29401081","lsjwzh","RecyclerViewPager","2883"
"454","23207451","gabrielemariotti","RecyclerViewItemAnimators","2882"
"455","68399597","airbnb","native-navigation","2877"
"456","65138856","codeestX","GeekNews","2876"
"457","36430851","race604","FlyRefresh","2876"
"458","50406544","sohutv","cachecloud","2858"
"459","22756550","daimajia","AndroidViewHover","2855"
"460","16191201","siacs","Conversations","2855"
"461","9733123","socketio","socket.io-client-java","2849"
"462","37286678","airbnb","DeepLinkDispatch","2845"
"463","24139593","alamkanak","Android-Week-View","2845"
"464","45987741","jasonross","Nuwa","2840"
"465","59032201","Microsoft","malmo","2838"
"466","61446080","liyifeng1994","ssm","2833"
"467","18727860","pedrovgs","DraggablePanel","2832"
"468","10981994","OpenFeign","feign","2830"
"469","3081071","yasserg","crawler4j","2818"
"470","1187853","stleary","JSON-java","2816"
"471","50523185","jeasonlzy","ImagePicker","2801"
"472","4899072","b3log","symphony","2797"
"473","75643096","material-components","material-components-android","2795"
"474","46282096","hitherejoe","animate","2792"
"475","66164298","romandanylyk","PageIndicatorView","2781"
"476","38385659","Jacksgong","JKeyboardPanelSwitch","2780"
"477","74271054","youlookwhat","CloudReader","2779"
"478","33166041","react-native-community","react-native-video","2775"
"479","46643413","arimorty","floatingsearchview","2771"
"480","5728045","ragunathjawahar","android-saripaar","2758"
"481","21438242","psaravan","JamsMusicPlayer","2757"
"482","38110583","JulienGenoud","android-percent-support-lib-sample","2735"
"483","47997753","zo0r","react-native-push-notification","2733"
"484","92832589","amirzaidi","Launcher3","2733"
"485","31040213","orhanobut","hawk","2725"
"486","4368712","jersey","jersey","2713"
"487","19387981","dmytrodanylyk","android-process-button","2710"
"488","37904620","dongjunkun","DropDownMenu","2709"
"489","76670734","sherxon","AlgoDS","2707"
"490","33599546","lovetuzitong","MultiImageSelector","2704"
"491","78756870","ximsfei","Android-skin-support","2701"
"492","38571419","Skykai521","StickerCamera","2700"
"493","25423296","amulyakhare","TextDrawable","2690"
"494","80192374","MindorksOpenSource","android-mvp-architecture","2690"
